Region,WP_GroupNo,Type,M_Name,RoadName,RoadNo,Direction,Distance,MS_Lat,MS_Lon,Ms_Alt,WP_Lat,WP_Lon,WP_Alt,Caution,SafeDown,Sampled,r_alt,Gimbal_Pitch,Gimbal_Yaw,Index,Windex,Flag
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.8,36.28348173,127.4505985,109.8223875,36.283398,127.450691,160.2165405,0,TRUE,TRUE,50.39415303,0,0,1,,1
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.81,36.28353806,127.4506859,109.6255808,36.28345,127.450773,159.976264,0,TRUE,FALSE,50.3506832,0,0,2,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.82,36.28359439,127.4507732,109.2614314,36.283507,127.45086,159.7359875,0,TRUE,FALSE,50.47455608,0,0,3,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.83,36.28365072,127.4508606,108.8959517,36.283563,127.450948,159.495711,0,TRUE,FALSE,50.59975925,-15,-10,4,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.84,36.28370705,127.450948,108.5292209,36.283619,127.451035,159.2554344,0,TRUE,FALSE,50.72621352,-15,-10,5,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.85,36.28376338,127.4510354,108.1613118,36.283676,127.451123,159.0151579,0,TRUE,FALSE,50.85384609,-15,-10,6,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.86,36.28381998,127.4511225,107.8110301,36.283733,127.45121,158.7748814,0,TRUE,FALSE,50.96385126,-15,-10,7,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.87,36.28387709,127.4512091,107.4951054,36.28379,127.451297,158.5346048,0,TRUE,FALSE,51.03949944,-15,-10,8,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.88,36.2839342,127.4512957,107.1785822,36.283847,127.451383,158.2943283,0,TRUE,FALSE,51.11574611,-15,-10,9,,
영동지사,26imhh,Patrol,영동_순찰_길_01,대전남부순환고속도로,3000,E,12.89,36.28399037,127.4513832,106.8107467,36.283902,127.45147,158.0540518,0,TRUE,FALSE,51.24330508,-15,-10,10,,
